timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1535450310337,516,Home Page,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,7349,0,1,1,514,0,0
1535450310858,241,Ajax Banner Load,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,914,0,1,1,241,0,0
1535450311101,83,Open Category Page,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,10769,0,1,1,83,0,0
1535450311185,83,Simple Product Page,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,11313,0,1,1,83,0,0
1535450311269,234,Ajax Load Login Form,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,1445,0,1,1,234,0,0
1535450311506,417,Add To Cart,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,12433,0,1,1,329,0,0
1535450311924,298,Load Customer Section,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,1089,0,1,1,298,0,0
1535450312223,680,Cart page,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,26679,0,1,1,679,0,0
1535450312904,595,Checkout start,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,23192,0,1,1,594,0,0
1535450313503,121,Checkout Email Available,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,534,0,1,1,121,0,0
1535450313625,277,Checkout Estimate Shipping Methods,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,738,0,1,1,277,0,0
1535450313902,420,Checkout Billing/Shipping Information,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,2393,0,1,1,420,0,0
1535450314323,162,Customer Section Load,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,789,0,1,1,162,0,0
1535450314486,2529,Checkout Payment Info/Place Order,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,534,0,1,1,2529,0,0
1535450317046,424,Checkout success,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,8060,0,1,1,424,0,0
1535450317472,83,Home Page,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,7349,0,1,1,83,0,0
1535450317556,174,Ajax Banner Load,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,922,0,1,1,173,0,0
1535450317730,83,Open Category Page,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,11021,0,1,1,83,0,0
1535450317813,83,Simple Product Page,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,11268,0,1,1,83,0,0
1535450317897,226,Ajax Load Login Form,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,1446,0,1,1,226,0,0
1535450318124,420,Add To Cart,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,12432,0,1,1,340,0,0
1535450318545,293,Load Customer Section,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,1090,0,1,1,293,0,0
1535450318838,687,Cart page,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,26674,0,1,1,686,0,0
1535450319525,598,Checkout start,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,23188,0,1,1,597,0,0
1535450320125,115,Checkout Email Available,200,OK,jp@gc - Stepping Thread Group - Guest Checkout - moneyorder 1-1,text,true,,534,0,1,1,115,0,0
